concepticon	concepticon_ID	concepticon_proposed	NEL_concept	NEL_ID	lgc	lgcSD	inf	ranking_value	position_in_ranking	WOLD	ABVD	ASJP40	ASJP100	Holman ranking value	Holman	Rama & Borin score	Rama & Borin rank	Swadesh100	Swadesh200	IELex	Dyen 1975 P	Dyen 1975 rank	Pagel mean rate	Petroni & Serva	Peust ranking	Tadmor score	Tadmor rank	Tadmor representation score	WOLD borrowed score	WOLD age score	WOLD simplicity score	representation	Tadmor score (replica)
		CONVEY_(A_MESSAGE)	mitteilen::V	988	0.400989578443347	0.106171752248221	14.5609918641813	1.09520856581911	745																								
TELL	1711	TELL	erzählen::V	987	0.2856722836621	0.100302971454677	13.5254532460256	1.09544026930667	746	18-221																			0.1378555799	0.7855579869	0.7702407002	46	0.5216566327
THIRTY	1715	THIRTY	dreißig::NUM	666	0.473479350833483	0.091323075645726	15.2205677277065	1.09592535702052	747	13-99906																							
PAINTING	2001	PAINTING	malen::V	1007	0.352402041644518	0.115363464906533	14.133426333408	1.09618079586074	748																								
GET TIRED	1996	GET_TIRED	müde werden::V	739	0.348314628039081	0.092465104758099	14.1011513536721	1.09663197013204	749																								
		TALK_(TO_SOMEONE)	reden::V	983	0.257579957576169	0.119446103701803	13.2846020229693	1.09663824047838	750																								
SPRING (OF WATER)	849	SPRING_(OF_WATER)	Quelle::N	100	0.198550796295357	0.116298734470315	12.7581776348306	1.09712204681724	751	1-9991																							
ROOSTER	1511	ROOSTER	Hahn::N	151	0.347888417261404	0.100688712020623	14.1109459687333	1.09799502133807	752																								
NAKED	590	NAKED	nackt::A	555	0.329295093132639	0.109241130409445	13.9464266631828	1.0982770824989	753	4-99																			0.0784313725	0.8264705882	0.8382352941	52	0.63844138
		WASH_(ONESELF)	sich waschen::V	975	0.393604529485239	0.113846150372483	14.5274568229243	1.09850160575572	754																								
		ENCOUNTER	treffen::V	919	0.36009963729976	0.110890565875042	14.24832726443	1.10074305287322	755																								
		STOP_(OF_MOVEMENT)	anhalten::V	776	0.267528359493358	0.101797728681313	13.4186310164411	1.10108757810009	756																								
REPAIR	2243	REPAIR	reparieren::V	837	0.403680412576849	0.106548672771619	14.6525587018883	1.10194349886966	757																								
GIRL	1646	GIRL	Mädchen::N	197	0.307271991884956	0.094118872491258	13.7977209464378	1.10322730194732	758	2-26																			0.1424485126	0.8794050343	0.76201373	48	0.5746612968
HOW MUCH	531	HOW_MUCH	wieviel::FNUM	652	0.28042273019206	0.104098047066079	13.5695020316612	1.10456974599327	759	17-63																			0.0541666667	0.8333333333	0.8	46	0.6305555556
CAVE	1155	CAVE	Höhle::N	98	0.259866148466994	0.111485559809223	13.3931456291356	1.10543502929326	760	1-28																			0.1950549451	0.8054945055	0.8681318681	49	0.5628783154
PICTURE	2401	PICTURE	Bild::N	334	0.219016827585627	0.10570445884574	13.03467418005	1.10635227317794	761																								
		JOG	rütteln::V	867	0.337684820715627	0.108010641849089	14.1103695921374	1.10712062056967	762																								
		CHANGE_(BECOME_DIFFERENT)	wechseln::V	685	0.41166125571808	0.112817473035789	14.7921465198862	1.10871952184235	763																								
		SCARF	Tuch::N	389	0.223974516577038	0.124770224188693	13.1202872500358	1.11045166008425	764																								
PALM OF HAND	1183	PALM_OF_HAND	Handfläche::N	29	0.406153918065328	0.11133917574303	14.7665715362333	1.11111862736454	765	4-331																			0.1098901099	0.8384615385	0.7252747253	46	0.541289142
WINDOW	1375	WINDOW	Fenster::N	317	0.319820643660767	0.105959596753098	14.0102303793487	1.11318445864018	766	7-25																			0.5680147059	0.8183823529	0.9053308824	47	0.3200608496
SPARK	518	SPARK	Funke::N	69	0.33991734694736	0.12286695431449	14.1911431189886	1.11318869964624	767																								
RAISE (A CHILD)	2134	RAISE_(A_CHILD)	aufziehen::V	912	0.317757413346047	0.103481809100313	13.9951061655336	1.11352894454192	768	8-99962																							
MOSQUITO	1509	MOSQUITO	Mücke::N	168	0.322526129736169	0.133093969043226	14.0466973440195	1.1143962176394	769	3-832	109																		0.2159090909	0.8170454545	0.9318181818	45	0.5969580555
BEFORE	1882	BEFORE	vorher::ADV	599	0.271337076940842	0.114957597977457	13.5907635142313	1.11487298217638	770	12-04																			0.0951219512	0.8317073171	0.8243902439	42	0.6204308991
TRUE	1657	TRUE	wahr::A	562	0.330681741249102	0.099123153541841	14.1249596871121	1.11488240158702	771	16-66	166																		0.2285714286	0.836	0.8676190476	51	0.5595399184
		MOOR	Moor::N	91	0.278254012908095	0.113001419829916	13.6545846106538	1.1150298494481	772																								
CLEAN (SOMETHING)	2235	CLEAN_(SOMETHING)	reinigen::V	968	0.37259310463286	0.140864619065018	14.5100435760469	1.11567056343512	773																								
THIRD	1859	THIRD	dritter::A	581	0.526076084360203	0.078233896431761	15.8951934885811	1.11605087293393	774	13-42																			0.0845070423	0.814084507	0.5915492958	36	0.4408749661
GRANDFATHER	1383	GRANDFATHER	Großvater::N	199	0.26206262224806	0.09291262236766	13.5260053065748	1.11674417063423	775	2-46																			0.2668439716	0.8262411348	0.8271276596	58	0.5010438857
DISAPPEAR	485	DISAPPEAR	verschwinden::V	711	0.404331118613236	0.092666344254408	14.8109224877705	1.11719424202514	776	10-491																			0.1333333333	0.8222222222	0.8111111111	48	0.5779917695
WHY	1270	WHY	warum::FADV	651	0.218476568669666	0.105051889478101	13.1501404785085	1.11838513604815	777																								
WAKE UP	1602	WAKE_UP	aufwachen::V	742	0.338762390090255	0.089748760414698	14.2344028342897	1.11855413234774	778	4-63																			0.1065088757	0.7885601578	0.8106508876	47	0.5711615134
		SWING_(MOVEMENT)	schwingen::V	695	0.33706570580277	0.106094244586657	14.2204096557595	1.11868183035346	779																								
		FAMILIAR	bekannt::A	570	0.348963580502119	0.107296665832707	14.3415311366017	1.12008589120826	780																								
		BOSS	Chef::N	418	0.343305104477564	0.095984700009435	14.2931042721629	1.12033583318648	781																								
DISEASE	1986	DISEASE	Krankheit::N	394	0.222062479076879	0.117094910558836	13.2028402517869	1.12042779400949	782	4-844																			0.3382352941	0.8037815126	0.7794117647	48	0.4145802136
PILLOW	1044	PILLOW	Kissen::N	388	0.30895151582486	0.100300640975856	13.9860455309451	1.12054818885213	783	7-421																			0.255952381	0.830952381	0.9047619048	42	0.5593854605
FORK	1302	FORK	Gabel::N	326	0.331900434418648	0.091885113030615	14.2083689008593	1.12212649910915	784	5-39																			0.543902439	0.74	0.8756097561	42	0.2955289709
COAST	1525	COAST	Küste::N	104	0.364294803676157	0.10976678319126	14.5067667903561	1.12281135572707	785																								
SEEM	1521	SEEM	scheinen::V	808	0.375051536543341	0.11528268392754	14.6087015462492	1.12332377173591	786	17-18																			0.1033464567	0.811023622	0.7460629921	45	0.5425423828
		SIZE_(OF_OBJECT)	Größe::N	280	0.307180511936202	0.12670102961858	14.0041382272298	1.1239513619804	787																								
		ELEVATION	Anhöhe::N	95	0.260848747209739	0.109626048941282	13.5919222163023	1.12442834914146	788																								
		BACK_(DIRECTION)	zurück::ADV	614	0.31627851211663	0.106324236552592	14.098218102669	1.12517114936193	789																								
		DECREASE	abnehmen::V	713	0.357932231165842	0.105775857880117	14.4752433507844	1.12538532702918	790																								
KNOCK	2396	KNOCK	klopfen::V	860	0.251220130120564	0.103585747270926	13.5237459885233	1.12627648174382	791																								
FIGHT	1423	FIGHT	Kampf::N	438	0.326964965795385	0.14482806449436	14.2093398896383	1.12666551974798	792	20-11									48	48	2.58	164	4.21						0.1323529412	0.8188854489	0.7213622291	60	0.5125304255
GRIEF	1668	GRIEF	Kummer::N	215	0.205853439964006	0.103454012092998	13.119807099125	1.12671261394489	793	16-32																			0.3373702422	0.7757785467	0.7871972318	53	0.4046618468
		COMPANION	Kamerad::N	252	0.307659206311143	0.101241393342781	14.0363670619729	1.12674342051726	794																								
FORGET	1523	FORGET	vergessen::V	1002	0.375611192242865	0.112414306236717	14.6606655575008	1.1280164827315	795	17-32																			0.0708661417	0.868503937	0.7726377953	44	0.6234850245
		SHINE_(OF_METAL)	glänzen::V	717	0.346567805918329	0.105320006630208	14.4089008722131	1.12897906189482	796																								
		SUPPORT_(OF_OBJECT)	Stütze::N	302	0.247965954690011	0.120975314819851	13.5542387200532	1.13225451278431	797																								
ENDURE	833	ENDURE	ertragen::V	1016	0.22069412052908	0.117478382907648	13.3116750891159	1.13254280043542	798																								
		FORWARD	vorwärts::ADV	612	0.374728792725412	0.104698957173945	14.700861388427	1.13283022538982	799																								
BEAUTIFUL	1427	BEAUTIFUL	schön::A	501	0.199575880566767	0.102211738073326	13.1248974682816	1.13287145431807	800	16-81																			0.2170283806	0.8544240401	0.83639399	55	0.5595390266
		DEPART	abfahren::V	775	0.26249317490795	0.112662353269882	13.6942923902578	1.13318538160862	801																								
GRANDMOTHER	1496	GRANDMOTHER	Großmutter::N	200	0.23673494188075	0.102532171921662	13.4720922940756	1.13414778171488	802	2-47																			0.2714521452	0.8409240924	0.8242574257	59	0.5049841503
FAMILY	194	FAMILY	Familie::N	198	0.375886752650677	0.096491709407617	14.7282773405758	1.13452965667197	803	2-82																			0.4197154472	0.8382113821	0.8556910569	48	0.4162090859
		TURN_AROUND_(SOMETHING)	umdrehen::V	845	0.333104990160204	0.108467173290668	14.3617082179151	1.13637633064733	804																								
GUN	1566	GUN	Gewehr::N	441	0.254126240580315	0.130038513808161	13.6631854692817	1.13760493040588	805	20-28																			0.5909090909	0.8343434343	0.9494949495	51	0.3240838133
BETWEEN	689	BETWEEN	zwischen::PRP	635	0.25141307682152	0.128438776576547	13.6394224841561	1.13767047927624	806																								
BUCKET	2052	BUCKET	Eimer::N	340	0.162318953855811	0.108609452081823	12.8407214117034	1.13798508270011	807	9-99903																							
ROUND	1395	ROUND	rund::A	496	0.379079728005735	0.104475792097634	14.7942515106248	1.13825339585732	808	12-81			98	17.9	76	525.012	91	69		129					12				0.1819852941	0.8702205882	0.8621323529	49	0.6137117075
POOR	1674	POOR	arm::A	568	0.257183983902098	0.116336659416514	13.7069126120795	1.13922567569606	809	11-52																			0.4461414791	0.8446945338	0.9011254019	55	0.421583648
LEAD (GUIDE)	43	LEAD_(GUIDE)	leiten::V	913	0.442571876734593	0.107912817238868	15.3756157255078	1.13924688348965	810	10-64																			0.1570512821	0.8427350427	0.7425213675	45	0.5274741288
SPEECH	1115	SPEECH	Rede::N	232	0.141043698456431	0.146745904742381	12.6732691970818	1.14038759109739	811	18-222																			0.3357843137	0.8066176471	0.75	40	0.4018260705
SPOIL (SOMEBODY OR SOMETHING)	92	SPOIL_(SOMEBODY_OR_SOMETHING)	verderben::V	892	0.281650647542965	0.105945871576785	13.9468778041043	1.14120219762176	812																								
TASTE (SOMETHING)	21	TASTE_(SOMETHING)	probieren::V	805	0.317205246824272	0.105926179545224	14.2669624268315	1.1412115205413	813																								
BREATHE	1407	BREATHE	atmen::V	735	0.354907303287555	0.11742678228791	14.6092734227535	1.14151076931655	814	4-51	28								19	19	3.83	133	2.48	0.17578					0.125	0.7876923077	0.7	45	0.4824615385
TROUSERS	809	TROUSERS	Hose::N	375	0.3540160220183	0.074260948943987	14.6073128768	1.14211686786353	815	6-48																			0.564516129	0.8139784946	0.935483871	47	0.3316051828
MAINLAND	166	MAINLAND	Festland::N	105	0.279949144673142	0.11862706255431	13.9473067300936	1.14277644280354	816	1-26																			0.4232245681	0.8199616123	0.7480806142	29	0.3537925425
IDOL	1945	IDOL	Figur::N	335	0.333001790883298	0.100549245396623	14.4260754773857	1.1429059359436	817	22-37																			0.375	0.8020833333	0.8229166667	27	0.4125298394
VISIBLE	1868	VISIBLE	zu sehen sein::V	809	0.369492673912421	0.125416876129958	14.7587447881824	1.14333107229706	818																								
CHEAP	1887	CHEAP	billig::A	532	0.282542334289783	0.104313662462181	13.9852752112559	1.14423942026478	819	11-89																			0.4268774704	0.8213438735	0.8122529644	44	0.3823523891
		PIKE_(FISH)	Hecht::N	162	0.355588788701922	0.11600257119632	14.64699761878	1.14466985204627	820																								
ANIMAL	619	ANIMAL	Tier::N	132	0.281229226582047	0.094337207370389	13.983764402031	1.14527013627926	821	3-11									3	3	4.96	108	3.4	0.1819					0.4561403509	0.8296296296	0.8976608187	50	0.4050264279
		PERCH_(FISH)	Barsch::N	161	0.317460525341592	0.105834535591988	14.3253590920454	1.1468214363971	822																								
TASTY	1813	TASTY	lecker::A	518	0.326478854251702	0.101261102944603	14.4092483623236	1.14709386740583	823																								
BOX	1465	BOX	Kiste::N	316	0.146990004890674	0.091031925251585	12.7969845927766	1.14740745487605	824																								
FORTY	1716	FORTY	vierzig::NUM	667	0.458620336347084	0.097739821633678	15.6041931318204	1.14766101046966	825																								
CHARACTER	1024	CHARACTER	Buchstabe::N	409	0.22735547605445	0.116443939174272	13.523877123509	1.1477677839019	826																								
DRESS UP	814	DRESS_UP	sich anziehen::V	978	0.433109067690249	0.092457224292489	15.3792351647018	1.14812535554896	827																								
STUPID	1518	STUPID	dumm::A	544	0.285713306197566	0.113554858131308	14.0829385562979	1.15115188005198	828	17-22																			0.360619469	0.8053097345	0.9269911504	62	0.4773071553
MISTAKE	1293	MISTAKE	Fehler::N	442	0.294545073094863	0.122704970393061	14.1666527358634	1.15157470780097	829	16-77																			0.1910669975	0.7980148883	0.7444168734	44	0.4805513
BOY	1366	BOY	Junge::N	196	0.225813211171043	0.112184940360895	13.5541038878391	1.15217849872997	830	2-25																			0.1696428571	0.8642857143	0.7380952381	49	0.5297057216
BOOT	585	BOOT	Stiefel::N	379	0.209376663831024	0.09889350281174	13.4178082143607	1.15334182398815	831	6-52																			0.6744966443	0.75950783	0.9217002237	46	0.2278648929
ONION	2366	ONION	Zwiebel::N	174	0.252084089754201	0.118835177188232	13.8064509811807	1.15376941733929	832	8-99935																							
JOIN	1743	JOIN	vereinigen::V	917	0.409708858018034	0.092332254735176	15.2323841381532	1.15450044159909	833	12-22																			0.1733067729	0.8613545817	0.7868525896	46	0.5602988437
		MESSAGE	Nachricht::N	228	0.263487366047381	0.10860725162881	13.9219187535932	1.15505324591668	834																								
WEATHER	952	WEATHER	Wetter::N	73	0.160355093748528	0.135478400681887	13.001029601	1.15578337572632	835	1-78																			0.3631944444	0.8252777778	0.85	39	0.4467102527
DECORATE	1739	DECORATE	schmücken::V	980	0.313543454859888	0.119901236813761	14.3812252185295	1.15593341247906	836																								
		DISTANCE	Entfernung::N	264	0.364812128686069	0.10796895327626	14.8539880918678	1.15706789336932	837																								
POINTED	372	POINTED	spitz::A	497	0.314955034520299	0.096254084948145	14.4084628220386	1.15738675113559	838	12-352																			0.1469387755	0.813877551	0.7979591837	45	0.5540129912
		DAMAGE_(HARM)	Schaden::N	444	0.193552170343205	0.133937058987191	13.3221244353119	1.15801549022231	839																								
		BUDGE	sich rühren::V	753	0.344892124583602	0.109013674085703	14.6847983186252	1.15807691973728	840																								
DOLL	1659	DOLL	Puppe::N	336	0.19363069526928	0.132748976719315	13.3244260038321	1.15817497464086	841																								
		AMOUNT	Menge::N	284	0.218688285760531	0.134124102693024	13.5767040789382	1.16085095070934	842																								
INCREASE	1041	INCREASE	zunehmen::V	714	0.288097405832449	0.123905441976673	14.2137015349346	1.16208248824426	843																								
COOK (SOMETHING)	1100	COOK_(SOMETHING)	zubereiten::V	960	0.334603575465516	0.110530579711114	14.6382325009697	1.16268003217801	844	5-21	39																		0.1828621908	0.8229681979	0.8012367491	53	0.5388144313
		PREPARE	vorbereiten::V	788	0.422636261768872	0.114217883615746	15.4321837360838	1.16284573801639	845																								
ELBOW	981	ELBOW	Ellenbogen::N	27	0.370591932368465	0.104614816742376	14.9672507106593	1.16319233193431	846	4-32																			0.0852272727	0.8136363636	0.8465909091	44	0.6301111418
QUIET	1314	QUIET	Ruhe::N	242	0.351702275027322	0.120328641765491	14.8191635448201	1.16538430695743	847	15-46																			0.1632443532	0.754825462	0.8911704312	52	0.5628672258
		RING_(SIGNAL)	klingeln::V	721	0.357613953839008	0.110490576893504	14.8919707681857	1.16734451836346	848																								
WEEK	1469	WEEK	Woche::N	455	0.284790230508628	0.104074418309831	14.2366216121578	1.16735095375801	849	14-61																			0.6305555556	0.7944444444	0.9333333333	48	0.273936214
THIN (SLIM)	1400	THIN_(SLIM)	schlank::A	541	0.313085537822125	0.112503324688078	14.5022891959328	1.16845193555337	850																								
ALWAYS	1676	ALWAYS	immer::ADV	604	0.254297709112509	0.106508154595812	14.002381777866	1.17137023958534	851	14-31																			0.2884615385	0.7817307692	0.8028846154	55	0.4465897211
FOR A LONG TIME	418	FOR_A_LONG_TIME	lange::ADV	586	0.374673188771142	0.112311830948721	15.1109347127713	1.1738876013831	852	14-332																			0.0825688073	0.8224770642	0.7798165138	39	0.5884231164
ALONE	1964	ALONE	allein::ADV	583	0.25323892661975	0.134714188848455	14.0296206285579	1.17504702889801	853	13-331																			0.1024096386	0.8024096386	0.7710843373	46	0.5553620492
SICK	1847	SICK	krank::A	554	0.231411834926919	0.101288997161805	13.8615049295181	1.17787984151758	854	4-84	160																		0.1779026217	0.8116104869	0.845505618	51	0.564140671
NOISE	1182	NOISE	Lärm::N	238	0.142625593552253	0.114392619244539	13.0693480860445	1.17857177440742	855																								
		INSTRUCT	unterrichten::V	911	0.325177728395068	0.108493021220481	14.7218797396279	1.17952801840723	856																								
BAG	2468	BAG	Tasche::N	339	0.115894533412234	0.124852730165216	12.8393399805271	1.1796289179817	857	6-99901																							
DONATE	196	DONATE	schenken::V	900	0.342823039021298	0.121210990599139	14.8855833720381	1.18001760208464	858																								
		MASTER_(TRADE)	Meister::N	419	0.377045565128088	0.093195771707677	15.2017772709778	1.1808367184825	859																								
		RUSTLE_(OF_LEAVES)	rauschen::V	724	0.387769167513308	0.107156787053133	15.3207177650123	1.18307952573925	860																								
DIRTY	1230	DIRTY	schmutzig::A	515	0.244428146255146	0.112768169539579	14.0468050495374	1.18469517332411	861	15-88	10								30	30	1.81	182	9.27						0.1337579618	0.7968152866	0.8248407643	55	0.5693338808
LAST (FINAL)	1529	LAST_(FINAL)	letzter::A	582	0.400802300844178	0.103627539342896	15.4580630158848	1.18508423082872	862	13-35																			0.1143958869	0.7594687232	0.7000856898	45	0.4708696715
OFTEN	1852	OFTEN	oft::ADV	603	0.355574822581524	0.10144437257183	15.0616651557698	1.18614917525361	863	14-32																			0.1485623003	0.8121405751	0.7875399361	57	0.544573709
ANT	587	ANT	Ameise::N	166	0.339446745975398	0.113591676630613	14.963839713399	1.19088189996204	864	3-817										207					12	0.716	71	1	0.12	0.851	0.975	51	0.730158
WHISTLE	1025	WHISTLE	pfeifen::V	729	0.417175788067426	0.089659704645689	15.6688438390612	1.19142617464544	865	18-17																			0.1421052632	0.8010526316	0.8263157895	48	0.5678597755
LIKE	1117	LIKE	mögen::V	790	0.298944123764779	0.109995113502746	14.6318888261385	1.19413917122555	866																								
POWER	2526	POWER	Macht::N	433	0.249882019271433	0.112135788910774	14.2365750773992	1.19876369039563	867	19-99931																							
		URGE_(SOMEONE)	antreiben::V	914	0.330273806272357	0.122357125417376	14.9792670482265	1.20068027917753	868																								
		ROAR_(OF_SEA)	brausen::V	723	0.23521687816149	0.124640439697987	14.1237727056826	1.20068208022292	869																								
SHOE	1381	SHOE	Schuh::N	378	0.219115368600122	0.118448073857596	13.9832473550384	1.20112090376373	870	6-51																			0.4516765286	0.7869822485	0.9506903353	52	0.4102426906
SWAY	573	SWAY	schwanken::V	694	0.28744921072728	0.107836974250512	14.5989033856628	1.20118604891173	871																								
WEST	1817	WEST	Westen::N	297	0.382318614531332	0.110939058221069	15.4574296508709	1.20165621200889	872	12-46																			0.2444444444	0.7733333333	0.7888888889	45	0.460944856
HURRY	754	MOVE_IN_HASTE	eilen::V	760	0.263935180602785	0.14077084154726	14.3956260647833	1.20202094393583	873	14-23																			0.1896272285	0.8100486224	0.8103727715	55	0.5319621938
		POWERFUL	kräftig::A	537	0.292710569143094	0.125852905748389	14.6753062383984	1.20409111161106	874																								
		BE_ILL	krank sein::V	746	0.325624806154798	0.099164352984511	14.9886026002779	1.20579793448847	875																								
		BE_ANNOYED	sich ärgern::V	795	0.371924999836739	0.09039870784928	15.4102820219578	1.20629570234272	876																								
DAMAGE	1116	DAMAGE	beschädigen::V	893	0.373001780202488	0.101575665202549	15.4277683016886	1.20707522798662	877	11-29																			0.253125	0.8	0.778125	46	0.4649296875
		VIOLENCE	Gewalt::N	437	0.398820097132739	0.108019713855099	15.6616671664241	1.20722862922294	878																								
		DISHWARE	Geschirr::N	342	0.301006834579537	0.095437211577694	14.7823800346897	1.20733185234738	879																								
		RIBBON	Band::N	381	0.119223810150239	0.110476760488495	13.1527552184612	1.20797409271091	880																								
		HARDLY	kaum::ADV	622	0.291631980876741	0.115247520445122	14.7069430059653	1.20822551780747	881																								
		DECEIVE	täuschen::V	942	0.250644189818079	0.121392200793499	14.340963373082	1.20851656647193	882																								
STORY	2060	STORY	Erzählung::N	227	0.262758628307581	0.112774698653625	14.4591273243962	1.20942996696279	883																								
		LEASH	Leine::N	386	0.175188514689875	0.121598403791199	13.6805258629245	1.21038292307156	884																								
BETRAY	1902	BETRAY	betrügen::V	943	0.297810087219836	0.108071582169941	14.7841688216325	1.2103878036654	885	17-441																			0.3620689655	0.8025862069	0.6961206897	42	0.3564100683
ENEMY	1358	ENEMY	Feind::N	436	0.303149969101151	0.11514836537867	14.8338800731342	1.21055303512238	886	19-52																			0.4456521739	0.8260869565	0.847826087	47	0.3882530616
PASTURE	649	PASTURE	Weide::N	401	0.339207079022846	0.103435174104549	15.1630181891449	1.21101544779393	887	3-16																			0.3583333333	0.8154166667	0.8375	43	0.4382015191
		GRUMBLE	schimpfen::V	794	0.245737518734878	0.109971859696702	14.3246150249292	1.21129773563153	888																								
TRY	1812	TRY	versuchen::V	787	0.18644210877182	0.122236423149297	13.7925573678613	1.21145783889149	889	17-48																			0.3535353535	0.8121212121	0.8282828283	51	0.4348548231
		SHRED	zerreißen::V	895	0.225980293976072	0.100541856848617	14.1499917232877	1.2116169077503	890																								
		MEANING	Sinn::N	222	0.179464742373346	0.11928800633598	13.7411251143416	1.21259424329815	891																								
		IMPROVE_(SOMETHING)	verbessern::V	838	0.418157842387761	0.134578088708708	15.9035442949205	1.21401237134307	892																								
TOGETHER	2482	TOGETHER	zusammen::ADV	585	0.233784555503375	0.113664199287644	14.2521394491898	1.21480784496594	893																								
CUP	476	CUP	Tasse::N	344	0.119502906219768	0.119104286530337	13.228429153131	1.21529029971531	894	5-35																			0.6153846154	0.798974359	0.9282051282	52	0.285235422
GENTLE	1954	GENTLE	sanft::A	552	0.222219944523973	0.114732469628629	14.1532971189031	1.21533176181874	895																								
		MAY	Mai::N	466	0.137706924810648	0.077435532476205	13.4031082729655	1.21637459496697	896																								
ONE TIME	374	ONE_TIME	einmal::ADV	601	0.238893493314943	0.114032219804928	14.3365831989875	1.2186541759153	897																								
EAST	1877	EAST	Osten::N	298	0.336803747010461	0.096778038707368	15.2392681914919	1.22080344683978	898	12-45																			0.2336956522	0.797826087	0.7880434783	46	0.4817921298
		HENCE	von hier::ADV	608	0.322395582949668	0.097403754493155	15.1229182414846	1.22213579949375	899																								
KICK	1135	KICK	treten::V	935	0.253674230910608	0.130263704029496	14.514426210311	1.22313581321155	900	10-431																			0.1398058252	0.8287378641	0.854368932	46	0.6090586652
COME BACK	581	COME_BACK	zurückkommen::V	781	0.328728164053659	0.095567374870963	15.1926036593636	1.22340501828806	901	10-481																			0.177480916	0.8145038168	0.8253816794	51	0.5529602741
SUCCEED	1112	SUCCEED	gelingen::V	818	0.305478924650905	0.121263018401669	14.9862878521514	1.22369775302932	902																								
RECOVER	1978	RECOVER	genesen::V	749	0.371951253657242	0.118175374112306	15.5860804021338	1.22385191192187	903																								
		BECAUSE_OF	wegen::PRP	636	0.184842450614573	0.143966204456688	13.9026748262672	1.2239092770736	904																								
GRAIN	605	GRAIN	Getreide::N	351	0.274595334873303	0.1006541561788	14.720602762435	1.22492447485753	905	8-42																			0.3909774436	0.884962406	0.9060150376	41	0.4883077372
		BUSINESS	Geschäft::N	423	0.241611000712102	0.127022764074481	14.4261728590835	1.22516738526746	906																								
		BENEFIT	Nutzen::N	427	0.117834357016573	0.125142942575664	13.3190351060873	1.22585258929381	907																								
		FORMER	ehemalig::A	565	0.263062029628962	0.119649482474421	14.6355365905931	1.22679783239324	908																								
VISIT	1377	VISIT	besuchen::V	918	0.390974906005443	0.096511369733334	15.7868921843512	1.22681180303022	909																								
		A_LITTLE	ein wenig::ADV	621	0.26781443155712	0.121481921162512	14.6841806296293	1.22738507456152	910																								
FALL ASLEEP	1106	FALL_ASLEEP	einschlafen::V	740	0.369276599838405	0.131942116298673	15.6038681137322	1.22803787151865	911																								
		ONCE_(IN_THE_PAST)	einst::ADV	596	0.344592291638736	0.097869726257977	15.3952520889466	1.22939214641979	912																								
FIFTY	1717	FIFTY	fünfzig::NUM	668	0.50104617480279	0.083476275037526	16.8086983532638	1.22992827800387	913	13-1043X	208																						
PROMISE	1675	PROMISE	versprechen::V	901	0.374120284783501	0.122051611309519	15.6771993087895	1.2310116745738	914	18-36																			0.3214285714	0.8155844156	0.7012987013	41	0.3881213406
LADDER	1464	LADDER	Leiter::N	322	0.277797240197781	0.114574309399548	14.8219153825754	1.23217402207954	915	7-37																			0.2288557214	0.8119402985	0.8756218905	51	0.5482471063
		DASH_(OF_VEHICLE)	sausen::V	762	0.305633044461328	0.115364019834351	15.0767853206167	1.23260879204647	916																								
		COLORFUL	bunt::A	531	0.351301257126319	0.097469075411392	15.5375204161149	1.2375809101978	917																								
GOOD-LOOKING	2410	GOOD-LOOKING	hübsch::A	542	0.166320890827303	0.111489242810016	13.8791455534772	1.23822575360314	918																								
STINGY	1774	STINGY	geizig::A	547	0.234180649109689	0.109103440975275	14.5062311332687	1.23986052912815	919	11-54																			0.2173913043	0.7700483092	0.8937198068	55	0.5385971161
		FAIRY_TALE	Märchen::N	226	0.296418149096431	0.10726203663517	15.0788897476405	1.24111264057726	920																								
HURRY	754	HURRY_UP	sich beeilen::V	761	0.355464747407911	0.085768608773585	15.6130538919588	1.24138711652876	921	14-23																			0.1896272285	0.8100486224	0.8103727715	55	0.5319621938
MUSHROOM	641	MUSHROOM	Pilz::N	173	0.266925684170647	0.136663627786108	14.8188539391496	1.24165227816137	922	8-98																			0.2666666667	0.8777777778	0.8777777778	46	0.5650288066
HINDER	554	HINDER	behindern::V	891	0.430377794833107	0.080679017406071	16.3017897858873	1.24283896323893	923																								
MIRROR	1171	MIRROR	Spiegel::N	383	0.365571530117616	0.101599141120567	15.7228126202388	1.24326688491802	924	6-96																			0.3971553611	0.8358862144	0.852297593	45	0.4294808737
		DISTURB_(SOMEONE)	stören::V	939	0.332493832184114	0.102252567680921	15.4481364877389	1.24556919980819	925																								
		ANNOY	ärgern::V	933	0.372328935185252	0.104729260259004	15.8139941936876	1.24630337770203	926																								
MEDICINE	1372	MEDICINE	Arznei::N	398	0.256892013312007	0.125363128073188	14.777170744916	1.2465142625108	927	4-88																			0.4215686275	0.8352941176	0.9019607843	54	0.4357916638
		GIFT	Geschenk::N	247	0.208325977398841	0.12970787072033	14.3445053977106	1.2469571601121	928																								
		NOTICE	bemerken::V	995	0.316066352248484	0.123867590737523	15.3555652433289	1.25109680730925	929																								
FEVER	1534	FEVER	Fieber::N	397	0.281932692007237	0.134084026634302	15.0545945869442	1.25172003588791	930	4-841																			0.3068435408	0.7980411604	0.8382097694	48	0.4636703063
		PART_WAYS	sich trennen::V	924	0.419964387350299	0.106407854169041	16.3069057661573	1.25272262800046	931																								
MIDDAY	12	MIDDAY	Mittag::N	452	0.415602061146956	0.109396937024054	16.2833309691104	1.25429124187878	932	14-45																			0.1032608696	0.7913043478	0.6358695652	47	0.4512089566
